Patología,Medicamentos,Observaciones,Acciones
Orquitis Urleana - Ooforitis Urleana,"Ketoprofeno 200 mg T.U. DI: 200 mg cada 24 hrs por 3-5 días. Ibuprofeno 400-600 mg.  DI: 1 cada 8 hrs por 3-5 días Naproxeno 550 mg. DI: 550 mg cada 8 hrs por 3-5 días Ketorolaco 10 mg.   DI: 10 mg cada 8 hrs por 3- 5 días. + Control clínico en 24 hrs. + Explico signos de alarma, para consulta al Servicio de urgencias.","% 2rio a Virus de Parotiditis , Paperas, ""Mixovirus Parotiditis"" Antecedente de Parotiditis previa, posterior inflamación testicular. Dolor abdominal en mujeres. Complicaciones: Riesgo de Infertilidad, Hipogonadismo. (i) Vacuna tres vírica (Parotiditis, Sarampión, Rubéola).",
Orzuelo - Foliculitis pestaña,"(*) MG: Observar, aplicar masaje y calor local humedo (agua). Cloranfenicol CAF 1% ungüento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. Ciprofloxacino 3.5 gr ungüento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. NC: Cirpodex (Ciprof/Dexa)",Inflamación por obstrucción de folículo piloso de pestaña (i) En caso de no mejora o sobreinfectar aplicar: ATB tópico en ungüento.,
Osteopenia,"Calcio 500 mg.  DI: 1-2 comprimidos al dia.   NC: Calcefor 500 mg , ECal-D (800mg/125 Ui VitD3) Vitamina D3. DI 1-2 comprimidos al dia.    NC: ECal-D (800mg/125 Ui VitD3)",Pedir: Densitometria osea (T score < -1) (i) Ejercicio es lo más eficiente.,
Osteoporosis,"Acido Alendronico 1 a la dia o semana VO (*) Acido Ibandronico 150 mg, 1 al mes VO   NC: Ibames CD (Ac. Ib 150mg, Calcio 500 mg, Vit D3 800 Ui) Acido Zolendronico 1 al año EV","Pedir Densitometria: (T score < o  = -2,5 ) (i) dar Bifosfonatos en ayuno y con mucha agua, por riesgo de esofagitis o ulcera. (i) Ejercicio es lo más eficiente. Tomar 1 capsula de Acido Ibandronico 150 mg al mes. En horas de la mañana, ayuno, con 1 vaso lleno de agua, no puede ser otro liquido. Espere 1 hra para comer o tomar otro medicamento. No mastique, No disuelva el remedio. Tráguelo entero. Debe permanecer de pie o sentada por 1 hra posterior. Tomar 1 capsula Calcio / vitamina D3 al día. Después de las comidas 1 hora posterior, con 1 vaso de agua.",
Otitis aguda externa (OAE),"(*) Oticum/Otolisan/Gotalgic gotas oticas. Uso: 2-3 cada 8 hrs por 5-7 días. (Betametasona, Lidocaina, Neomicina, Poliximina B) Otex HC gotas oticas. Uso: 2-3 gotas c 12 hrs por 7 dias. (Hidrocortisona, Ciprofloxacino). Ciporval otico (Ciprofloxacino). Uso: 3-7 gotas cada 8 horas por 7-14 dias. Ketorolaco 10 mg. 1 c 8 horas. Naproxeno 550 mg.  DI: 550 mg cada 8 horas. Ketorolaco 30 mg Sublingual. DMx: 1 comp SL SOS c 6 hrs max 2-5 dias.",Otitis de cotonitos o piscina.,
Otitis Media aguda en niños. (OMA),"(*) Amoxicilina jarabe.  DP: 100 mg/kg/día VO cada 8 horas x 5-7 días. (*) Oticum/Otolisan/Gotalgic gotas oticas. Uso: 2-3 cada 8 horas por 5-7 días. (Betametasona, Lidocaína, Neomicina, Poliximina B) (ac) Azitromicina 200mg/5ml jarabe.  DP: 10 mg/kg/día 1 dosis diaria x 3 días. Paracetamol gotas.   DP: 3-5 gotas por kg, cada 8 horas.  NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg / 5 ml    DP: 15 – 20 mg/kg/dosis cada 8 horas.  NC: Kitadol infantil. Panadol. Paracetamol 125 mg Sup. Infantil     DP: 1 cada 8 horas. Ibuprofeno jarabe 100-200mg /5ml      DP: 10 mg /kg/dosis c 8 horas.",(i) Alergico a Amoxicilina dar Azitromicina,
Otitis media aguda leve en adulto. (OMA),"(*) Oticum/Otolisan/Gotalgic gotas oticas. Uso: 2-3 cada 8 horas por 5-7 días. NC: Oticum, Otolisan. (Betametasona, Lidocaína, Neomicina, Poliximina B) (*) Amoxicilina 500 mg.  DI: 500 mg cada 8 horas por 5-7 días (ac) Azitromicina 500 mg. DI: 1 al día, por 3 días. Paracetamol 500 mg. 1 c 8 horas. Ketorolaco 10 mg. 1 c 8 horas. Naproxeno 550 mg.  DI: 550 mg cada 8 horas. Ketorolaco 30 mg Sublingual. DMx: 1 comp SL SOS c 6 hrs max 2-5 dias.",(i) Alergicos a Amoxicilina dar Azitromicina,
Oxigenoterapia / Disnea / Desaturacion,"Oxigeno naricera. DI: 0.5-4 litros por minuto. DP: 0.5 - 2 litros por minuto. Oxigeno mascarilla. DI: 3 - 15 litros por minuto. + Agua bidestilada, Frasco Humificador. + Monitoreo continuo: SatO2, PA, FC, FR cada 15 minutos. + Posición Fowler o semisentado. + Prono activo según tolerancia. + Tranquilizar a paciente.","(i) Naricera, cánula nasal, bigotera. FIO2 hasta 28-36% (i) Mascarilla Venturi. FIO2 24-50% Verde bajo flujo (3-6 lt/m), Blanco alto flujo (9-15 lt/min) (i) Sat <90% indicación para MV 9-15 lt/min.",
Pancreatitis aguda,"(*) Régimen Cero - Sonda NY o NPT. (*) SF 0.9% 1000 cc EV (*) Metamizol 1 gr/ 2ml EV Pargeverina/Metamizol 5mg/2gr 5ml EV. DI: 1 c/8 hrs.  NC: Viadil compuesto. Ceftriaxona 1 gr EV DI: 1-2gr c 12h EV.  Solo si hay absceso o necrosis infectada (cultivo +). Metronidazol 500 mg/100ml EV. DI: 500mg c 12h EV. Solo si hay absceso o necrosis infectada (cultivo +). Qx: solo si, esta infectada o Pseudoquistes persistente Sintomático. (*) TAC de abdomen seriados: Balthazar A - E (*) Lipasa / Amilasa (*) Score de APACHE: Gases arteriales, ELP, Creatinina, Perfil hematológico.","% Litiasis biliar. Alcohol ,Hipertrigliceridemia >500, viral, traumática, autoinmune. Dg (3/3): Clínico, Enzimas, TAC abdomen. Clínica: Dolor hemiabdomen superior en faja, vómitos, fiebre, distensión abdominal, posición mahometana, Ictericia, disnea (derrame pleural derecho), Equimosis: Cullen (periumbilical), Grey-Turner (Fosa lumboilíaca). Mayo Robson: Dolor al presionar para vertebral. ATB: Solo si hay absceso o necrosis infectada (cultivo +). Qx: solo si, esta infectada o Pseudoquistes persistente Sintomático. (> 6 cm) En caso de Litiasis manejo en 2da instancia.",
Pancreatitis Crónica,(*) Metamizol 1 gr/2ml EV Insulina cristalina SC según requiera. Insulina NPH SC según esquema. Pancreatina / Simeticona cápsulas. DI: 1 caps con las comidas. NC: Digenil caps. Flapex E comprimidos. DI: 1 comprimido con las comidas. Qx: solo si dolor es refractario a manejo médico.,"% Alcoholismo. Dolor post comidas o post Alcohol. Hiperglucemias y Esteatorrea. Dg: TAC abdomen. Pedir: Glicemia ayuno, Test Sudán. (i) Suspender Alcohol.",
Paracentesis Diagnóstica / Evacuadora,"Guantes estériles. Mascarilla Bata estéril. Paños estériles y/o campo estéril. Solución antiséptica: Clorhexidina/Povidona yodada/Alcohol. Anestésico tópico: Lidocaína 1 % con adrenalina. Jeringa de 5 cc, Aguja Subcutánea. Jeringa de 20 cc o mayor. Catéter de calibre 14-16 . Conexión y bolsa para drenaje. Tubos para recolección de muestra. (20 - 50 cc) Albumina 20% EV para reponer.","(i) Punto de punción: 1/3 externo de línea entre ombligo-Espina ilíaca anterosuperior Izquierda. Evitar cicatrices por riesgo de asa adherida a pared. (i) Indicaciones: Ascitis de inicio reciente que requiere hospitalización, descompensada con insuficiencia respiratoria, Deterioro clínico evidente infeccioso, PBE, sospecha de Hemoperitoneo (trauma abdominal). (i) Contraindicaciones: Trastorno grave de coagulación, Obstrucción intestinal, Infección de pared abdominal.",
Parafimosis,"(*) Reducción manual de Urgencia, por riesgo de Necrosis del Glande. Qx: Sección dorsal del prepucio de Urgencia. Qx 2da oportunidad: Circuncisión.","Urgencia Urologica. Manejo manual con reducción manual, en caso de falla, aplicar sección dorsal del prepucio.",
Paralisis nervio facial central - VII PC,Hospitalizar TAC con contraste de craneo. Resonancia nuclear magnética de craneo - RNM IC a Neurología Tratar según causa.,"% ACV, TIA, Tumor cerebral, HSA. (i) Paralisis subita de la hemicara inferior, no afecta la frente ni al ojo. Puede cerrar ojo y arrugar frente. Asociado a focalidades, afecta otros PC; Diplopia, alteracion pupilar, estrabismo, hipoestesia, alteracion de masticacion.",
Paralisis nervio facial periferica - VII PC - Paralisis de Bell,"(*) Parche ocular, lagrimas artificiales. (*) Prednisona 5 - 20 mg. DI: 20 mg VO. IC a Kinesiología motora. TAC con contraste de craneo, para descartar o ante duda.","(i) Paralisis subita de toda la Hemicara ""Hemiparesia"", Signo de Bell (+), asociado a Disgeusia (alteracion de sabor), Hiperacusia (mayor volumen), Hipoestesia en trago, Dolor mastoideo previo. (i) Parche ocular por riesgo de queratitis seca. (i) Signo de Bell: Ojo del lado afectado con imposibilidad para cerrar parpado, quedando abierto.",
Parkinsonismo por farmacos - Extrapiramidalismo,Suspender y cambiar fármaco. IC a Neurología.,"Farmacos (Antidopaminergicos (los ganglios de la base funcionan con Neuronas Dopaminergicas): Antipsicoticos (Risperidona, Haloperidol, Quetiapina), Antiemeticos (Domperidona, Metoclopramida, Cisaprida), Otros: Flunarizina",
Pediculosis - Piojos,"MG: Tratar contactos, aseo de utensilios, peines, toalla y ropa. Uñas cortas y limpias. (*) Permetrina 1% shampoo.  NC: Nolais shampoo 1%. Kilnits Shampoo.  Uso: Lavar cabello y esperar 10 min antes de enjuagar. Secar, remover con peine fino. Repetir a los 7 días. (ac) Cetirizina 10 mg.     DI: 10 mg al día en caso de prurito. Desloratadina 5 mg.  DI: 5 mg al dia en caso de prurito. Loratadina 10 mg.   DI: 10 mg cada 12 hrs, en caso de prurito. Clorfenamina 4 mg    DI: 4 mg cada 8 horas, en caso de prurito.","% Pediculus capitis (i) Lavar cabello y esperar 10 min antes de enjuagar. Secar, remover con peine fino. Repetir a los 7 días.  (1-6-1) (i) Tratar a hermanos, compañeros, familia.",
Penetrante ocular - Estallido ocular,"NO TOCAR OJO! NO SACAR OBJETO INTRA-OCULAR! NO PARCHAR OJO! NO USAR ATB OCULAR! (i) Derivar a UTO urgente, con: Vías endovenosas Ketorolaco 30mg/1ml ampolla. DP: 0.2mg/kg/dosis c 6-8 hrs EV-IM. DI: 30 mg c 8 hrs. Dmx: 120 mg dia. Diclofenaco 75 mg/3ml EV-IM NC: Lertus Tramadol 100 mg/ml gotas. DI: 5-15 gotas c 8 hrs. Cloxacilina 500mg polvo IM-EV. DI: 500mg-1gr c 8 hrs. Cefazolina 1 gr EV DI: 500mg-1gr c 12 hrs. DMx: 6gr dia. Vancomicina 500 mg EV. DI: 15-30mg/k/dia c 12 hrs","(i) No tocar ojo, no sacar objeto intraocular, no parchar ojo. Solo manejo EV. % Trauma severo, cursa con hipotonia, discoria, disminucion agudeza visual, laceracion. Derivar a UTO Urgente con vias, ATB y AINE EV.",
Penfigo,(*) Prednisona 5-20 mg.  DI: 1 comp diario VO. (ac) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividido en 3 tomas. (ac) Metotrexato 2.5 mg.  DI: 2.5 mg 1 vez a la semana.  DMax: 7.5 mg semanal. + Derivar a Dermatología.,"% Autoinmune. Anticuerpo contra unión de epidermis. Ampollas o Bulas Flácidas generalizadas, recurrentes, fácil de romper: Sg. Nikolsky (+). Dg: Clínico, Solo en duda pedir Biopsia + IFI (epidermis)",
Penfigoide,(*) Prednisona 5-20 mg. DI: 1 comp diario VO. (ac) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividida en 3 tomas. (ac) Metotrexato 2.5 mg.  DI: 2.5 mg 1 vez a la semana.  DMax: 7.5 mg semanal. + Derivar a Dermatología.,% Autoinmune. Anticuerpo contra lamina basal. Ampollas o Bulas Duras y Tensas generalizadas. Dificil de romper. Afecta tambien: Mucosa oral. En duda pedir Biopsia + IFI (lamina basal). Sg. de Nikolsky (-),
Perforación de Ulcera Gastro Duodenal,"(*) Qx de Urgencia!: Sutura de ulcera GD. SF 0.9% 1000 cc EV DI: 500 cc BOLO EV, 60 cc hr BIC EV Ceftriaxona 1 gr EV DI: 2 gr EV Metronidazol 500 mg EV. DI: 500mg EV Omeprazol 40 mg EV. DI: 40mg EV",(i) Pedir Rx pie abdomen o tórax (Neumoperitoneo).,
Peritonitis Bacteriana Espontanea - PBE,"(*) Cefotaxima 1 gr EV DI: 1 gr c 12 hrs EV por 7 días. (*) Albumina 20%. DI: 1,5 gr/kg EV Dosis única, luego de 3 días dar 1gr/kg EV DU, para profilaxis Sd Hepato -Renal (SHR) Hospitalizar en UTI- Intermedio Reposo absoluto, Régimen cero. Monitoreo continuo. Control de parámetros inflamatorios cada 12 hrs. Al alta dejar ATB oral (profilaxis PBE)","Clínica: Dolor abdominal, fiebre, Ascitis en DHC. Realizar Paracentesis Diagnóstica a TODA Ascitis descompensada. Paracentesis Diagnóstica (+) >250 PMN/mm. (i) Dejar al alta Tto Profilaxis PBE VO.",
Perlas de Epstein,MG: Observar y tranquilizar a madre.,"% Glándulas salivales Recién nacido asintomático, con perlas o Pápulas blancas brillantes en las encías y/o paladar.",
Pestañas distiquiásicas,Retirar con Pinza Qx Electrofulguracion en recurrencia.,"(i) En diferentes dirección de crecimiento, con toque corneal o conjuntival.",
Pie Diabetico infectado,Cefadroxilo 500 mg VO c 12 hrs por 14 dias. (i) en caso ser leve o ERC. (*) Clindamicina 300 mg VO + Ciprofloxacino 500 mg VO. DI: cada 12 hrs por 14 días.  (i) Anaerobio y G+ / G- y G+ (*) Clindamicina 600mg/4ml EV + Ciprofloxacino 200mg/100ml EV. (ac) Ceftriaxona 1 gr EV + Cloxacilina 500 mg EV + Metronidazol 500 mg  EV /Clindamicina 600mg/4ml EV  (i) G-| G+ | Anaerobios. Clindamicina Gel  NC: Clindacin gel. Gentamicina 0.01% Tópico. Uso: Cada 8 hrs.,ATB amplio espectro. Mínimo 14 días!.,
Pinguecula,"MG: Protección solar: Lentes UV ala ancha. Lagrimas artificiales, hipromelosa 0.7%, solución oftálmica. Uso: 1- 2 gotas en cada ojo, cada 8-12 hrs al día o según necesidad. Qx; estetica o complicada.","% Sol y polvo. Mancha o Tumor benigno en conjuntiva escleral, indoloro, amarillento. Complicación: Pingueculitis; dolor y aumento de volumen.",
Pitiriasis Alba,"MG (*) Humectación crema. Bloqueador solar, Observar. Cetirizina 10 mg.    DI: 10 mg al dia en caso de prurito. Loratadina 10 mg.   DI: 10 mg al dia en caso de prurito.","% Atópica, Signo de Atopia. Máculas hipopigmentadas, descamativas con borde difuso. En cara, hombros y brazos. Asociado a piel seca.",
Pitiriasis Rosada de Gibert,"MG: Hidratación crema. Observar, Autolimitado. (*) Cetirizina 10 mg.    DI: 10 mg al día en caso de prurito. Loratadina 10 mg.   DI: 10 mg al día en caso de prurito. Clorfenamina 4 mg    DI: 4 mg cada 8 horas, en caso de prurito.","% Viral herpes (VH6 y 7): Autolimitado 1-2 semanas. Dg: Clínico: Placas eritematosas y descamativas, múltiples. Solo en tronco: pecho, abdomen y espalda. Signo: Mancha Heráldica: inicio (1-2 semanas previa) con placa grande unica en pecho previa.",
Pitiriasis Versicolor,"(*) MG: Evitar sudor, cambio de ropa, higiene con agua diario. (*) Ketoconazol 2% tópico.  Uso: cada 12 hrs al dia 1-14 dias. Clotrimazol 1% crema.  Uso: cada 12 hrs al dia 1-14 dias. (ac) Fluconazol 150 mg.  DI: 150 mg, 1 semanal por 1 mes.   (i) 1 caja = 2 comp. Ketoconazol 2% Shampoo  NC: TKC, Biogel, Finder Shampoo, Medicasp (1%) (*) Cetirizina 10 mg.    DI: 10 mg al dia en caso de prurito. Loratadina 10 mg.   DI: 10 mg al dia en caso de prurito.","% Hongo (Malassezia Furfur) por Sudor. Máculas hipopigmentadas y eritematosas, descamación de borde difuso, en tronco, Pecho y espalda (Sudor).",
Polineuropatia Diabetica - Dolor Neuropatico,"MG: Cuidar lesiones en pies, corte de uña adecuado recto. Podólogo certificado. Calzado adecuado. Pedir: HGT, Glicemia en ayuna, Niveles de Vitamina B12, B1. Insulina NPH 1-2 y/o Insulina Cristalina preDAC. Imipramina 25 mg. DI: 25 mg día.  DMx:150 mg día.  (i) ADTC. Amitriptilina 25mg. DI: 25 mg día.  DMx: 75 mg/día.  (i) ADTC. (*) Pregabalina 75 mg  DI: 75 mg c 12 hrs.   DMx: 300-600mg/día post 1-2 sem. (i) Modulador de dolor.  NC: Pregalex, Alivax, Prestat, Lyrica, Neurum. Gabapentina 300 mg. DI: 300 mg dia.  DMx: 3600mg c 8 hrs.  NC: Gabex. Venlafaxina 75 mg.  DI: 75 mg al dia.  NC: Venlax, EctienXR (IRSS)","% Diabetes, DM2, Deicit Vit B12,B1. Autoinmune, Genético. Dolor urente, alodinia, hiperalgesia distal ""en guante o calcetín"", debilidad distal, Disminuye o altera la sensibilidad, termoalgésica, vibratoria y propioceptiva. Atrofia distal. (i) Iniciar Insulina + ADTC (antidepresivos 3ciclico), si es causa diabética.",
Polipos nasales,"(*) Mometasona Intranasal. Uso: 1-2 puf en cada fosa nasal al dia en la mañana.  DMx 4 puff en cada fosa nasal diaria. NC: Nasonex, Rinoval, Monez, SynAller.",(i) sobre los 18 años.,
Presbicie,Lentes ópticos Biconvexos.,"(i) Inicio mayor 40 años. Ve mal de cerca. % Cristalino pierde elasticidad por edad. Dificulta enfoque. Pedir: Optometria. (i) No sirve Qx Lasik, Evitar uso de lentes bifocales por riesgo de Caídas.",
Priapismo isquemico - Ereccion dolorosa,"Anestesiar pene con bloqueo nervio dorsal. (*) Fenilefrina 5 mg/ml.  DI: 0,3 a 0,5 mg IM, cada 5 a 10 minutos.  DMx: 1.5 mg (ac) Adrenalina diluida 1 ml a 0.1% en 1 ml de SF 0.9% = 10 ml IM. Qx: en caso de 12 hrs. + Hospitalización en urgencia. + interconsulta a Anestesiologia o Cirugía, Urología, para anestesia. + Monitoreo de signos vitales continuo. + Reposo absoluto + Régimen cero. + Aspiración de sangre cavernosa: Evaluación y análisis. + Ecografía Doppler Peneano de evaluación inicial y control posterior. + Hemograma, Orina completa, Test de drogas, APE, electroforesis de hemoglobina.","% Drogas de abuso (cocaína, marihuana), inyecciones locales, papaverina, Prostaglandina E1, testosterona. Toxina (araña viuda negra). Medicamentos: Labetalol, Prazosin, Heparina, Trazodona. % Vascular: Anemia Falciforme, Talasemias, Leucemias, Policitemia (raro). Priapismo isquémico vs no isquémico. Erección mantenida (+4 hrs) y Dolorosa. (i) Manejo de causa por riesgo de Disfunción eréctil orgánica posterior y fibrosis corporal.",
Profilaxis de ITU en niños - infección urinaria recurrente.,(*) Cefadroxilo 250 mg/5ml jarabe. DP: 15 mg/kg/dosis 1 vez al dia Cefadroxilo 500 mg comprimidos. DP: 15 mg/kg/dosis 1 vez al dia (ac) Nitrofurantoina 25 mg/5ml jarabe. DP: 1-3 mg/kg/dosis 1 vez al dia. Nitrofurantoina 100 mg comprimidos. DP:1-3 mg/kg/dosis 1 vez al dia.,"Indicaciones: - Hasta completar estudio ITU (Ecografia renal - UCG - DMSA) - Hasta resolución de causa pendiente (Qx) - ITU recurrente: + 3 veces ITU, dar por 1 año tratamiento. (i) Nitrofurantoina uso > 4 meses.",
Profilaxis glaucoma agudo - angulo cerrado o estrecho.,Qx: Iridectomía laser.,"Profilaxis para evitar recurrencias, punto en iris, para drenar correctamente el humor acuoso de la cámara anterior. En pacientes con hipermetropía se asocia el glaucoma de ángulo estrecho o cerrado.",
Profilaxis ITU en embarazo,"Cefadroxilo 500 mg comprimidos. DI: 1 comprimido al dia, hasta el parto. Cefradina 500 mg comprimidos. DI: 1 comprimido al dia, hasta el parto. Cefuroximo 500 mg comprimidos. DI: 1 comp al dia, hasta el parto.","(i) Si presenta durante embarazo >=2 cuadros de ITU (alta o baja) y/o Bacteriuria Asintomatica (BA). Tratamiento hasta el parto, por riesgo de Parto prematuro, RPPM, Pielonefritis PNA. Contraindicado: Ciprofloxacino. Evitar Nitrofurantoina.",
Profilaxis migraña o cefalea en niños,"Propanolol 10-40 mg.  DI: 0.6-1.5 mg/kg/dia, cada 8 horas; DMx: 4 mg/kg/día o ≤35 kg: 10-20 mg 3 veces/dia, >35 kg: 20-40 mg 3 veces/dia.",,
"Profilaxis migraña, cefalea, jaqueca en Adultos","Propanolol 10-40 mg. DI: 10 mg cada 12 hrs VO. DMx: 40 mg cada 12 hrs. Amitriptilina 25 mg. DI: 12.5 mg en la noche VO. DMx: 100 mg noche. Flunarizina 10 mg. DI: 10 mg noche VO. DMx: 20 mg noche. NC: Fluxus. (*) Paracetamol 500 mg. DI: 1 gr c 6-8 hrs VO. NC: Xumadol. Manejo del estrés, educar sobre profilaxis. IC a Psicología.",(i) Ante 2 o mas crisis al mes. Descartar cefalea de rebote por ergotaminicos. No dar Amitriptilina en adultos mayores.,
Profilaxis Peritonitis bacteriana espontanea PBE,"(*) Ciprofloxacino 500 mg VO DI: 1 día VO, a permanencia hasta Trasplante. Norfloxacino 400 mg VO. DI: 1 día VO, hasta trasplante. Cotrimoxazol 800/160mg VO. DI: 1 día VO, hasta trasplante. Metronidazol 500mg/100ml EV. DI: 1 c 12 hrs EV.","Si ya tuvo PBE (VO), HDA por varices esofágicas (EV), y Ascitis con Albuminemia <1,5 g/dl (VO).",
Profilaxis Tuberculosis - TBC,Isoniazida 100 mg.  DI: 5-10 mg/kg/dia por 3 o 6 meses. DMx: 300 mg/día. Vitamina B6 25-50mg/dia. (i) para evitar toxicidad hepática. Control a los 3 meses con nuevo PPD; en menor de 15 años con el 1er PPD (-). Vacuna BCG a los 6 meses en RN post tratamiento: Mascarilla para madre y mantener Lactancia. E.N.O,"Dar Profilaxis a todo menor de 15 años o Hijo de Madre TBC, tiempo es segun PPD. Pedir PPD: a contactos < 15 años, VIH y con enfermedad crónica. (i) PPD (+) cuando > 10 mm. (i) En todo menor de 15 años: tratar por 3 (PPD -) o 6 meses (PPD +), control a los 3 meses si es PPD - , si al control es (+) completar 6 meses. (i) En VIH con PPD (+) > 5 mm: tratar por 9 meses. (i) Todo recién nacido de madre TBC es por 6 meses + Vacuna de BCG post Tratamiento.",
Prostatitis Aguda,"(*) Ciprofloxacino 500 mg  DI: 500 mg c 12 hrs, por 10 dias. (ac) Ceftriaxona 250 mg IM. DI: 250 mg, 1 dosis IM. (ac) Tamsulosina 0.4 mg   DI: 1 diaria por 10 dias. Ibuprofeno 600 mg. DI: 1 c 8 hrs en caso de fiebre o dolor.","(i) Pedir OC+Uroc, APE, P.hematologico, PCR.",
Prostatitis Cronica,"(*) Ciprofloxacino 500 mg  DI: 500 mg c 12 hrs, por 1 mes. (ac) Tamsulosina 0.4 mg   DI: 1 diaria por 1 mes. Ibuprofeno 600 mg. DI: 1 c 8 hrs en caso de fiebre o dolor.",Pedir: Ecografia pelvica masculina al terminar tratamiento. Urocultivo + Orina completa.,
Prurigo,"(*) Cetirizina 10 mg al día en la mañana en caso de prurito Loratadina 10 mg al día en la mañana en caso de prurito Clorfenamina 4 mg cada 8 horas, en caso de prurito. Prednisona 5-20 mg. DI: 1 comp diario VO. (i) Si fuese grave.",Rash generalizado o local con vesículas que pican. % Alergia. Corticoide oral (i) Si fuese grave.,
Pseudotumor orbitario,"Observar y lagrimas artificiales; si es leve y estable. Corticoides, Inmunomoduladores, Radioterapia bulbar; si es activa. Qx para reposición ocular; si es Avanzado. Derivar a Oftalmologia si es activo o avanzado.",Proptosis o Exoftalmo sin alteracion tiroidea. % Idiopatica. Pedir: Perfil tiroideo y TAC orbita.,
Psoriasis Guttata cronica,"(*) MG: Observar, Autolimitado, Humectación con crema hidratante. (*) Betametasona 0,05% tópica.  Uso: cada 12 hrs (ac) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Tacrolimus topico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. PUVA terapia.","% Post-infecciosa (SGA, amigdalitis, celulitis), Autoinmune. Autolimitado (semanas - meses). Si persiste tratar como Psoriasis vulgar. Dg: Clínico: Placas eritematosas y descamativas, ""gotas de lluvia"", pequeñas y generalizadas en todo el cuerpo. Nunca en palmas ni plantas de pies. (i) No dar Corticoide oral como terapia!.",
Psoriasis simple-vulgar,"Hidratación cutánea con crema hidratante. (*) Betametasona 0,05% tópica.  Uso: cada 12 hrs (ac) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Tacrolimus tópico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. PUVA terapia.","% Autoinmune. Dg: Clinico: Placas eritematosas y descamativas, en codo, rodillas, poplitea, espalda, gluteo, nuca y frente (pasa la linea del pelo). Uñas con ""Picotazos"" puntiformes. - Signos clínicos: Raspado metódico de Brocq. Brocq (+) : raspar lesiones, aparece tela fina que se remueve y bajo gotas de sangre (Signo de Auspitz +) (i) Tto en orden: Humectación - corticoide tópico - inmunomoduladores - PUVAterapia. (i) Nunca dar Corticoide oral como terapia.",
Pterigeon,"MG: Protección solar: Lentes UV ala ancha. Lagrimas artificiales, hipromelosa 0.7%, solución oftálmica. Uso: 1- 2 gotas en cada ojo, cada 8-12 hrs al día o según necesidad. Qx; estetica o complicada.","% Sol Tumor benigno con invasión corneal, indoloro, blanquecino, vascularizado. Complicación: Afectar campo visual o mas de 3/4.",
Punto rubi,MG: Observar + Uso de Bloqueador Solar.,"% Sol, fotodaño. Nódulo o pápula pequeña (mm), de color rojo intenso. Ubicación típica en pecho y espalda.",
Puntuación - Score de PADUA,Cáncer activo o Qxt hace 6 meses = 3 puntos. Antecedente de tromboembolismo venoso = 3 puntos. Movilidad disminuida por mínimo 3 días = 3 puntos. Antecedente trombofilico conocido = 3 puntos. Trauma o Cirugía reciente (menos de 1 mes) = 2 puntos. Edad mas de 70 años = 1 punto. Falla respiratoria o cardiaca (ICC) = 1 punto. Antecedente de IAM/ACV = 1 punto. Infección aguda y/o enfermedad reumatológica. = 1 punto. Obesidad IMC mas de 30 = 1 punto. Tratamiento Hormonal activo = 1 punto.,"Determina la necesidad de anticoagulación en pacientes hospitalizados por riesgo de tromboembolismo venoso o TVP/TEP. Padua ≥ 4 puntos: está indicada la profilaxis farmacológica. Si hay alto riesgo de hemorragia, use profilaxis mecánica (MAE) Padua < 4 puntos: la profilaxis farmacológica NO está indicada; considere el uso de profilaxis mecánica (MAE). LINK: https://www.mdcalc.com/padua-prediction-score-risk-vte",
Pupila de Addie,MG: Observar es normal.,"Anisocoria (midriasis de ojo afectado) Pupila menos reactiva que la otra. Vias Aferente/Eferente indemnes. RFM (+), Consesual (+): bilateral y ambos en baja cantidad.",
Pupila de Argyll Robertson - Neurosifilis,(*) Penicilina G sodica 5 millones UI ampolla. DI: 3-4 millones IU EV cada 4 horas por 10-14 dias. Ampicilina 1 gr ampolla. DI: 3 gr cada 6 horas por 10-14 dias. (alergia a PNC) Ceftriaxona 1 gr ampolla. DI: 2 gr EV por 10-14 dias. (alergia a PNC),RFM (-) bilateral. Reflejo acomodación de lejos presente. % Neurosifilis Pedir: VDRL en Liquido cefalorraquideo (LCR),
Queratitis - Ojo rojo profundo,"Cloranfenicol CAF 1% ungüento oftálmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. Ciprofloxacino 3.5 gr ungüento oftálmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. NC: Cirpodex (Ciprofloxacino/Dexametasona) (i) Manejo de Causa, Evaluar pupila (normal) Derivar a Oftalmología.","Ojo rojo profundo. Evaluar Pupila: Normal. Blefaroespasmo, fotofobia, epifora. % Infecciosa, herpética, Ojo seco (Sjogren, Parálisis facial), Actínica (soldadores), por lentes de contacto. (i) Pedir: Tinción con Fluoresceína (ver ulceras). Dg: clínico. (i) No cubrir ojo!",
